page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,score_basis,score_basis_label,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,training_fit_stage,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,frontier_sample_class,frontier_sample_note,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation,r2_type,data_scope,forecast_r2,calibration_r2,training_fit_r2,component_r2,n_rows,sse,sst,bias_pct,mape,interpretation,availability_status,training_fit_r2_status,gap_id,gap_status,gap_severity,gap_detail,inner_hpo_weights_status,nested_replay_status,source_prediction_column,source_actual_column,calibration_r2_source_column
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Training-fit R2,0.9706829508720435,0.971,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/training_fit_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,,weighted_ensemble_final,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9706829508720435,,52,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Training-fit R2,0.9989124054633143,0.999,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/training_fit_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,HEAVY_RUC__VNEXT__dynamic_no_leads__gbr_learning_rate0p05_max_depth1_n_estimators650__ylag__w52,,,HEAVY_RUC__VNEXT__dynamic_no_leads__gbr_learning_rate0p05_max_depth1_n_estimators650__ylag__w52,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9989124054633143,,52,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Training-fit R2,0.9798449644222093,0.980,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/training_fit_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,HEAVY_RUC__VNEXT__dynamic_no_leads__ridge_alpha10p0__ylag__w64,,,HEAVY_RUC__VNEXT__dynamic_no_leads__ridge_alpha10p0__ylag__w64,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9798449644222093,,64,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Training-fit R2,0.9049070593246744,0.905,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/training_fit_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,HEAVY_RUC__VNEXT__schiff__gbr_learning_rate0p08_max_depth1_n_estimators150__noylag__w52,,,HEAVY_RUC__VNEXT__schiff__gbr_learning_rate0p08_max_depth1_n_estimators150__noylag__w52,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9049070593246744,,52,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,LIGHT_RUC,Light RUC volume,dynamic_RESID_GBR_n150_d1_lr0.05_w36,,Component validation R2,0.2579435703537045,0.258,component_pred,data/dashboard_evidence_pack_reproducibility/light_ruc/component_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,base_schiff_ols,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,0.2579435703537045,390,4.1157087203563586e+19,5.546355446738909e+19,2.6111288357679077,8.124439994981826,Valid but weak net fit on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,LIGHT_RUC,Light RUC volume,dynamic_RESID_GBR_n150_d1_lr0.05_w36,,Training-fit R2,0.9397519030040192,0.940,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/light_ruc/training_fit_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,Light RUC base OLS fitted training rows,,,base_ols,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9397519030040192,,1332,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,LIGHT_RUC,Light RUC volume,dynamic_RESID_GBR_n150_d1_lr0.05_w36,,Training-fit R2,0.9886057393088404,0.989,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/light_ruc/training_fit_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,Light RUC post-GBM fitted training rows,,,post_gbm_final,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9886057393088404,,1332,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,LIGHT_RUC,Light RUC volume,dynamic_RESID_GBR_n150_d1_lr0.05_w36,,Component validation R2,0.6045723888531894,0.605,component_pred,data/dashboard_evidence_pack_reproducibility/light_ruc/component_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,base_schiff_ols,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,0.6045723888531894,126,7.482963779265526e+18,1.892372603310021e+19,0.6225975875448851,5.554177621693284,Valid moderate net fit on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,LIGHT_RUC,Light RUC volume,dynamic_RESID_GBR_n150_d1_lr0.05_w36,,Training-fit R2,0.9723934824818761,0.972,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/light_ruc/training_fit_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,Light RUC base OLS fitted training rows,,,base_ols,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9723934824818761,,843,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,LIGHT_RUC,Light RUC volume,dynamic_RESID_GBR_n150_d1_lr0.05_w36,,Training-fit R2,0.9949836979020305,0.995,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/light_ruc/training_fit_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,Light RUC post-GBM fitted training rows,,,post_gbm_final,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9949836979020305,,843,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Component validation R2,0.44689864049227257,0.447,component_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/component_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,PED__VNEXT__diff__gbr_learning_rate0p05_max_depth1_n_estimators400__ylag__w56,,2.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,0.44689864049227257,606,2602722.2962129014,4705687.757718372,1.7662939014706034,2.5655985286576057,Valid but weak net fit on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Component validation R2,0.43651817784868086,0.437,component_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/component_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,PED__VNEXT__dynamic_no_leads__resid_gbr_learning_rate0p05_max_depth1_n_estimators150__noylag__wexp,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,0.43651817784868086,606,2651569.512194304,4705687.757718372,0.11078627093323427,3.0754044570241077,Valid but weak net fit on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Training-fit R2,0.9884172947016628,0.988,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/training_fit_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2,,,weighted_ensemble_final,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9884172947016628,,56,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Training-fit R2,0.9981409325128314,0.998,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/training_fit_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,PED__VNEXT__diff__gbr_learning_rate0p05_max_depth1_n_estimators400__ylag__w56,,,PED__VNEXT__diff__gbr_learning_rate0p05_max_depth1_n_estimators400__ylag__w56,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9981409325128314,,56,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Training-fit R2,0.988997548607383,0.989,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/training_fit_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,PED__VNEXT__dynamic_no_leads__resid_gbr_learning_rate0p05_max_depth1_n_estimators150__noylag__wexp,,,PED__VNEXT__dynamic_no_leads__resid_gbr_learning_rate0p05_max_depth1_n_estimators150__noylag__wexp,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.988997548607383,,96,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Component validation R2,0.506181337452111,0.506,component_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/component_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,PED__VNEXT__diff__gbr_learning_rate0p05_max_depth1_n_estimators400__ylag__w56,,2.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,0.506181337452111,126,454198.11300576146,919767.0065005183,2.0425631285220063,2.755835895391164,Valid moderate net fit on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Component validation R2,0.5437991132403373,0.544,component_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/component_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,PED__VNEXT__dynamic_no_leads__resid_gbr_learning_rate0p05_max_depth1_n_estimators150__noylag__wexp,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,0.5437991132403373,126,419598.5239778169,919767.0065005183,1.2982382476285146,2.6846432072098763,Valid moderate net fit on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Training-fit R2,0.9884172947016628,0.988,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/training_fit_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2,,,weighted_ensemble_final,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9884172947016628,,56,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Training-fit R2,0.9981409325128314,0.998,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/training_fit_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,PED__VNEXT__diff__gbr_learning_rate0p05_max_depth1_n_estimators400__ylag__w56,,,PED__VNEXT__diff__gbr_learning_rate0p05_max_depth1_n_estimators400__ylag__w56,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9981409325128314,,56,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,PED,PED VKT per capita,PED__VNEXT_SOLVED_CONVEX_TOP2,,Training-fit R2,0.988997548607383,0.989,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/ped_vnext/training_fit_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,PED__VNEXT__dynamic_no_leads__resid_gbr_learning_rate0p05_max_depth1_n_estimators150__noylag__wexp,,,PED__VNEXT__dynamic_no_leads__resid_gbr_learning_rate0p05_max_depth1_n_estimators150__noylag__wexp,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.988997548607383,,96,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
