scenario_name,role,workbook_filename,workbook_sha256,sheet,stream,cell,row_number,column_number,row_label,column_label,period,canonical_period,variable_name,canonical_variable,value,unit,value_type,source_status
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A12,12,1,12,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,Generated at,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B12,12,2,12,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,2026-06-10 03:15,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,A1,1,1,1,period,,,period,period,period,system,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,B1,1,2,1,year,,,year,year,year,system,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,C1,1,3,1,quarter,,,quarter,quarter,quarter,system,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,D1,1,4,1,horizon,,,horizon,horizon,horizon,system,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,E1,1,5,1,real_gdp_per_capita_nzd,,,real_gdp_per_capita_nzd,real_gdp_per_capita_nzd,real_gdp_per_capita_nzd,real NZD/person,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,F1,1,6,1,population,,,population,population,population,persons,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,G1,1,7,1,unemployment_rate,,,unemployment_rate,unemployment_rate,unemployment_rate,percentage points,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,H1,1,8,1,real_petrol_price_cents_per_litre,,,real_petrol_price_cents_per_litre,real_petrol_price_cents_per_litre,real_petrol_price_cents_per_litre,cents/litre,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,I1,1,9,1,target_lag_1,,,target_lag_1,target_lag_1,target_lag_1,model target units,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,J1,1,10,1,target_lag_4,,,target_lag_4,target_lag_4,target_lag_4,model target units,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,K1,1,11,1,q2_dummy,,,q2_dummy,q2_dummy,q2_dummy,0/1,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,L1,1,12,1,q3_dummy,,,q3_dummy,q3_dummy,q3_dummy,0/1,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,M1,1,13,1,q4_dummy,,,q4_dummy,q4_dummy,q4_dummy,0/1,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,N1,1,14,1,post_2020_dummy,,,post_2020_dummy,post_2020_dummy,post_2020_dummy,0/1,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,O1,1,15,1,trend_index,,,trend_index,trend_index,trend_index,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,P1,1,16,1,log_real_gdp_per_capita,,,log_real_gdp_per_capita,log_real_gdp_per_capita,log_real_gdp_per_capita,log transformed,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,Q1,1,17,1,log_population,,,log_population,log_population,log_population,log transformed,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,R1,1,18,1,log_unemployment_rate,,,log_unemployment_rate,log_unemployment_rate,log_unemployment_rate,log transformed,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,S1,1,19,1,log_real_petrol_price,,,log_real_petrol_price,log_real_petrol_price,log_real_petrol_price,log transformed,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,T1,1,20,1,log_target_lag_1,,,log_target_lag_1,log_target_lag_1,log_target_lag_1,log transformed,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,U1,1,21,1,log_target_lag_4,,,log_target_lag_4,log_target_lag_4,log_target_lag_4,log transformed,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,V1,1,22,1,diff_log_target_lag_1_lag_4,,,diff_log_target_lag_1_lag_4,diff_log_target_lag_1_lag_4,diff_log_target_lag_1_lag_4,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,W1,1,23,1,gdp_petrol_interaction,,,gdp_petrol_interaction,gdp_petrol_interaction,gdp_petrol_interaction,derived interaction,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,X1,1,24,1,post_2011_x_log_trend,,,post_2011_x_log_trend,post_2011_x_log_trend,post_2011_x_log_trend,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,A2,2,1,2026Q1,period,2026Q1,2026Q1,period,period,2026Q1,system,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,B2,2,2,2026Q1,year,2026Q1,2026Q1,year,year,2026,system,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,C2,2,3,2026Q1,quarter,2026Q1,2026Q1,quarter,quarter,1,system,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,D2,2,4,2026Q1,horizon,2026Q1,2026Q1,horizon,horizon,1,system,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,E2,2,5,2026Q1,real_gdp_per_capita_nzd,2026Q1,2026Q1,real_gdp_per_capita_nzd,real_gdp_per_capita_nzd,21243.780135691777,real NZD/person,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,F2,2,6,2026Q1,population,2026Q1,2026Q1,population,population,5353979.145849093,persons,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,G2,2,7,2026Q1,unemployment_rate,2026Q1,2026Q1,unemployment_rate,unemployment_rate,0.0533,percentage points,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,H2,2,8,2026Q1,real_petrol_price_cents_per_litre,2026Q1,2026Q1,real_petrol_price_cents_per_litre,real_petrol_price_cents_per_litre,269.8,cents/litre,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,I2,2,9,2026Q1,target_lag_1,2026Q1,2026Q1,target_lag_1,target_lag_1,1565.5435343949114,model target units,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,J2,2,10,2026Q1,target_lag_4,2026Q1,2026Q1,target_lag_4,target_lag_4,1499.78577995301,model target units,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,K2,2,11,2026Q1,q2_dummy,2026Q1,2026Q1,q2_dummy,q2_dummy,0,0/1,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,L2,2,12,2026Q1,q3_dummy,2026Q1,2026Q1,q3_dummy,q3_dummy,0,0/1,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,M2,2,13,2026Q1,q4_dummy,2026Q1,2026Q1,q4_dummy,q4_dummy,0,0/1,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,N2,2,14,2026Q1,post_2020_dummy,2026Q1,2026Q1,post_2020_dummy,post_2020_dummy,1,0/1,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,O2,2,15,2026Q1,trend_index,2026Q1,2026Q1,trend_index,trend_index,97,,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,P2,2,16,2026Q1,log_real_gdp_per_capita,2026Q1,2026Q1,log_real_gdp_per_capita,log_real_gdp_per_capita,9.963819432010848,log transformed,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,Q2,2,17,2026Q1,log_population,2026Q1,2026Q1,log_population,log_population,15.49335060799491,log transformed,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,R2,2,18,2026Q1,log_unemployment_rate,2026Q1,2026Q1,log_unemployment_rate,log_unemployment_rate,-2.931818947810338,log transformed,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,S2,2,19,2026Q1,log_real_petrol_price,2026Q1,2026Q1,log_real_petrol_price,log_real_petrol_price,5.597680943773655,log transformed,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,T2,2,20,2026Q1,log_target_lag_1,2026Q1,2026Q1,log_target_lag_1,log_target_lag_1,7.355988349,log transformed,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,U2,2,21,2026Q1,log_target_lag_4,2026Q1,2026Q1,log_target_lag_4,log_target_lag_4,7.313077563526842,log transformed,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,V2,2,22,2026Q1,diff_log_target_lag_1_lag_4,2026Q1,2026Q1,diff_log_target_lag_1_lag_4,diff_log_target_lag_1_lag_4,0.04291078547315852,,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,W2,2,23,2026Q1,gdp_petrol_interaction,2026Q1,2026Q1,gdp_petrol_interaction,gdp_petrol_interaction,55.77428216176877,derived interaction,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,X2,2,24,2026Q1,post_2011_x_log_trend,2026Q1,2026Q1,post_2011_x_log_trend,post_2011_x_log_trend,4.574710978503383,,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,A3,3,1,2026Q2,period,2026Q2,2026Q2,period,period,2026Q2,system,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,B3,3,2,2026Q2,year,2026Q2,2026Q2,year,year,2026,system,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,C3,3,3,2026Q2,quarter,2026Q2,2026Q2,quarter,quarter,2,system,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,D3,3,4,2026Q2,horizon,2026Q2,2026Q2,horizon,horizon,2,system,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,E3,3,5,2026Q2,real_gdp_per_capita_nzd,2026Q2,2026Q2,real_gdp_per_capita_nzd,real_gdp_per_capita_nzd,21317.089808223227,real NZD/person,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,F3,3,6,2026Q2,population,2026Q2,2026Q2,population,population,5365985.154284347,persons,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,G3,3,7,2026Q2,unemployment_rate,2026Q2,2026Q2,unemployment_rate,unemployment_rate,0.052844999999999996,percentage points,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,H3,3,8,2026Q2,real_petrol_price_cents_per_litre,2026Q2,2026Q2,real_petrol_price_cents_per_litre,real_petrol_price_cents_per_litre,268.2315789473684,cents/litre,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,I3,3,9,2026Q2,target_lag_1,2026Q2,2026Q2,target_lag_1,target_lag_1,1496.0363155031278,model target units,numeric,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,J3,3,10,2026Q2,target_lag_4,2026Q2,2026Q2,target_lag_4,target_lag_4,1476.2931862205082,model target units,numeric,materialized_from_workbook_cell
