fy,measure,unit,current,official,gap,basis
2028,population_implied_pack_stage,persons,5438574.545647807,,-51.843879679217935,current pack-stage output-implied; GATED to match the direct input within 1e-3
2028,population_implied_post_macro,persons (not a population),5472495.287954661,,33868.89842717443,"post-macro petrol_vkt / vktpc ratio = population x 1.00623; the Treasury macro replay applies stream-specific factors, so this ratio drifts from the input. REPORTED ONLY - cross-row macro consistency is flagged for P1.2 direct scenario replay."
2028,ped_effective_rate,NZD/L,0.8500894140750586,0.8500894140750587,-1.1102230246251565e-16,derived_output_implied (gross_ped / litres)
2029,ped_vkt_per_capita,km/person,5902.064077713241,5897.91062691712,4.153450796121433,observable_series
2029,light_petrol_vkt,m km,32682.67332088302,32608.4407560831,74.23256479992051,observable_series
2029,ped_volume,m L,2890.6808343220287,2884.11519477832,6.565639543708585,observable_series
2029,light_ruc_conventional_km,m km,14131.358557992657,13926.5605658137,204.79799217895743,observable_series
2029,light_bev_km,m km,2695.8212982561504,2502.17964433063,193.6416539255206,observable_series
2029,phev_km,m km,1495.51845432587,1394.20153006706,101.31692425880988,observable_series
2029,heavy_ruc_km,m km,4192.720215451303,4400.67521803142,-207.95500258011634,observable_series
2029,population,persons,5482135.400643706,5528812.289434058,-46676.88879035134,current_population_direct_scenario_input vs official_population_output_implied (derived_from_official_outputs_not_independently_published)
2029,population_implied_pack_stage,persons,5482087.280881718,,-48.11976198852062,current pack-stage output-implied; GATED to match the direct input within 1e-3
2029,population_implied_post_macro,persons (not a population),5537498.897088549,,55363.49644484278,"post-macro petrol_vkt / vktpc ratio = population x 1.01010; the Treasury macro replay applies stream-specific factors, so this ratio drifts from the input. REPORTED ONLY - cross-row macro consistency is flagged for P1.2 direct scenario replay."
2029,ped_effective_rate,NZD/L,0.9001107027491551,0.9001107027491552,-1.1102230246251565e-16,derived_output_implied (gross_ped / litres)
2030,ped_vkt_per_capita,km/person,5888.384227680278,5887.16953577159,1.2146919086881098,observable_series
2030,light_petrol_vkt,m km,32993.321829443696,32869.8724784727,123.44935097099369,observable_series
2030,ped_volume,m L,2889.404437049461,2878.59330671556,10.81113033390102,observable_series
2030,light_ruc_conventional_km,m km,14552.971035061611,14402.4384228319,150.53261222971196,observable_series
2030,light_bev_km,m km,3437.1140934214673,3074.13637597232,362.97771744914735,observable_series
2030,phev_km,m km,1878.889739407174,1688.91801832143,189.97172108574387,observable_series
2030,heavy_ruc_km,m km,4230.412228687553,4474.70373343995,-244.2915047523975,observable_series
2030,population,persons,5525992.483848856,5583306.592200029,-57314.10835117288,current_population_direct_scenario_input vs official_population_output_implied (derived_from_official_outputs_not_independently_published)
2030,population_implied_pack_stage,persons,5525943.3279658845,,-49.15588297136128,current pack-stage output-implied; GATED to match the direct input within 1e-3
2030,population_implied_post_macro,persons (not a population),5603119.727538802,,77127.2436899459,"post-macro petrol_vkt / vktpc ratio = population x 1.01396; the Treasury macro replay applies stream-specific factors, so this ratio drifts from the input. REPORTED ONLY - cross-row macro consistency is flagged for P1.2 direct scenario replay."
2030,ped_effective_rate,NZD/L,0.9400992657432979,0.9400992657432979,0.0,derived_output_implied (gross_ped / litres)
