Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
PED,PED Inputs!V98,log_real_petrol_price,5.597680943773655,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
PED,PED Inputs!W98,light_petrol_vkt_total_km,7268954111.238782,km,Provisional quarterly bridge,Provisional—not independently observed,MBU26 annual spine + Core Data,FY2026 annual petrol-only VKT less 2025Q3/Q4 actual VKT; split Q1/Q2 by exact Gross PED revenue S77:S78; target = Q1 VKT / Q1 population.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv | /mnt/data/NLTF Core Data Report -Jun 2026 (1).xlsx,Replace immediately if MoT/NZTA publishes an exact national Q1 petrol-only VKT observation. Exclude from re-estimation by default.
PED,PED Inputs!X98,log_total_vkt,22.706878254488934,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
PED,PED Inputs!Y98,unemployment_percent,5.3,%,Raw external actual,Published quarterly actual,RBNZ M9 / Stats NZ,March-2026 seasonally adjusted unemployment = 5.3%; decimal rate = 5.3 / 100.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/labour-market,Use the latest accepted HLFS quarterly vintage.
PED,PED Inputs!Z98,unemployment_rate,0.053,decimal rate,Derived,Derived exact,RBNZ M9 / Stats NZ,March-2026 seasonally adjusted unemployment = 5.3%; decimal rate = 5.3 / 100.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/labour-market,Use the latest accepted HLFS quarterly vintage.
PED,PED Inputs!AA98,log_unemployment_rate,-2.9374633654300153,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
PED,PED Inputs!AB98,post_2011_dummy,1,0/1,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!AC98,dummy_2020,0,derived / model units,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!AD98,post_2020_dummy,1,0/1,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!AE98,q2_dummy,0,0/1,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!AF98,q3_dummy,0,0/1,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!AG98,q4_dummy,0,0/1,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!AH98,post_2011_x_log_trend,4.574710978503383,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
PED,PED Inputs!AI98,data_status,Provisional quarterly PED bridge; macro inputs are official Q1 actuals,text,Governance metadata,Governance flag,This workbook,"Documents whether the observation is exact, derived, or provisional.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Preserve through CSV/parquet materialisation.
PED,PED Inputs!AJ98,notes,"PED target is petrol-only VKT per capita. No direct national quarterly petrol-only VKT actual was found. Q1 is provisionally bridged from MBU26 FY2026 Light petrol VKT after deducting 2025Q3/Q4 actual VKT, then allocating the remaining Q1/Q2 total by exact Core Data Gross PED revenue. Do not label or train on this as an independently observed actual without an explicit governance override.",text,Governance metadata,Governance flag,This workbook,"Documents whether the observation is exact, derived, or provisional.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Preserve through CSV/parquet materialisation.
PED,PED Inputs!AK98,log_target_lag_1,7.355988349,natural-log / dimensionless,Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
PED,PED Inputs!AL98,log_target_lag_4,7.313077563526842,natural-log / dimensionless,Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
PED,PED Inputs!AM98,diff_log_target_lag_1_lag_4,0.04291078547315852,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
LIGHT_RUC,Light RUC Inputs!A98,period,2026Q1,text,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!B98,period_label,Mar 2026,text,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!C98,year,2026,index/count,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!D98,quarter,1,index/count,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!E98,period_index,97,index/count,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!F98,trend_index,97,index/count,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!G98,target,3196014020,km,Raw internal actual,Exact Core Data actual,NLTF Core Data Report - Jun 2026,"Use Net RUC KM 1–6T, Q3/Mar-26, cell N77. This matches the historical conventional Light RUC target definition.",/mnt/data/NLTF Core Data Report -Jun 2026 (1).xlsx,Never add BEV or PHEV km to the model target unless target semantics are formally changed and history is rebuilt.
LIGHT_RUC,Light RUC Inputs!H98,log_target,21.885170251574234,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
LIGHT_RUC,Light RUC Inputs!I98,target_lag_1,3307965543,km,Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
LIGHT_RUC,Light RUC Inputs!J98,target_lag_4,3118762564,km,Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
LIGHT_RUC,Light RUC Inputs!K98,log_trend,4.574710978503383,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
LIGHT_RUC,Light RUC Inputs!L98,nominal_gdp_sa_nzd,114677316000,NZD,"Quarterly macro actual, vintage-linked",Published quarterly actual growth,RBNZ M5 / Stats NZ,Q4 workbook level × (1 + March-2026 nominal GDP q/q SA growth of 1.4%).,https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product,"On refresh, chain the latest official nominal q/q SA growth onto the last accepted workbook-vintage level, or perform a governed full-history rebase."
LIGHT_RUC,Light RUC Inputs!M98,gdp_deflator_sa,1567.1821782178217,index,"Quarterly macro actual, reconciled",Derived from published quarterly actuals,RBNZ M5 / Stats NZ,"Q4 deflator × (1 + nominal q/q SA growth) / (1 + real q/q SA growth), so nominal and real GDP reconcile exactly.",https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product,Use the same vintage-link rule unless the entire GDP history is rebased together.
LIGHT_RUC,Light RUC Inputs!N98,gdp_rebasing_factor,0.9960552268244576,factor,Derived macro field,Derived exact,"GDP, deflator and population inputs",Reproduce the existing workbook formulas: rebase nominal GDP with the GDP-deflator factor; divide by population for per-capita fields; natural-log positive levels.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product | https://www.rbnz.govt.nz/statistics/series/economic-indicators/population-and-migration,Calculate centrally; do not request these as separate uploads.
LIGHT_RUC,Light RUC Inputs!O98,real_gdp_sa_nzd,114224940000,NZD,Derived macro field,Derived exact,"GDP, deflator and population inputs",Reproduce the existing workbook formulas: rebase nominal GDP with the GDP-deflator factor; divide by population for per-capita fields; natural-log positive levels.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product | https://www.rbnz.govt.nz/statistics/series/economic-indicators/population-and-migration,Calculate centrally; do not request these as separate uploads.
LIGHT_RUC,Light RUC Inputs!P98,log_real_gdp,25.461435499116554,natural-log / dimensionless,Derived macro field,Derived exact,"GDP, deflator and population inputs",Reproduce the existing workbook formulas: rebase nominal GDP with the GDP-deflator factor; divide by population for per-capita fields; natural-log positive levels.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product | https://www.rbnz.govt.nz/statistics/series/economic-indicators/population-and-migration,Calculate centrally; do not request these as separate uploads.
LIGHT_RUC,Light RUC Inputs!Q98,diesel_price_nominal_cents_per_litre,214.6,cents/litre,Raw external quarterly price,Published quarterly average / source-pack value,MBIE energy prices + current model source pack,March-2026 quarterly average in cents/litre; current source pack contains petrol 269.8 and diesel 214.6.,https://www.mbie.govt.nz/building-and-energy/energy-and-natural-resources/energy-statistics-and-modelling/energy-statistics/energy-prices | https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/data/engine_ar1/current_revenue_outlook/scenario_inputs/scenario_input_wide.csv,Replace only from the accepted MBIE/Stats NZ quarterly price extract; retain the CPI vintage used for real-price conversion.
LIGHT_RUC,Light RUC Inputs!R98,cpi_rebasing_factor,1,factor,Derived price-base factor,Derived exact,RBNZ M1 / Stats NZ,"March 2026 is the real-price base quarter, so CPI rebasing factor = 1339 / 1339 = 1.",https://www.rbnz.govt.nz/statistics/series/economic-indicators/prices,Recompute for every quarter as base-quarter CPI divided by quarter CPI.
LIGHT_RUC,Light RUC Inputs!S98,real_diesel_price_cents_per_litre,214.6,cents/litre,Derived real price,Derived exact,Nominal price + RBNZ CPI,Real price = nominal price × CPI rebasing factor. Q1 factor is 1 because March 2026 is the base.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/prices,Recompute whenever CPI or the real-price base quarter changes.
LIGHT_RUC,Light RUC Inputs!T98,log_real_diesel_price,5.368775830196598,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
LIGHT_RUC,Light RUC Inputs!U98,light_ruc_revenue_nzd,248999340.25,NZD,Raw internal actual,Exact Core Data actual,NLTF Core Data Report - Jun 2026,"Use Net RUC Revenue 1–6T (GST inclusive), Q3/Mar-26, cell B77.",/mnt/data/NLTF Core Data Report -Jun 2026 (1).xlsx,Use the same Core Data column every quarter.
LIGHT_RUC,Light RUC Inputs!V98,light_ruc_price_nominal_nzd_per_1000km,77.90933916178503,"NZD/1,000 km",Derived effective rate,Derived exact,Core Data revenue and net km,"Quarterly effective nominal price = matching net revenue / matching net km × 1,000.",/mnt/data/NLTF Core Data Report -Jun 2026 (1).xlsx,Fail validation unless the reconstructed identity matches within 1e-9 relative tolerance.
LIGHT_RUC,Light RUC Inputs!W98,real_light_ruc_price_nzd_per_1000km,77.90933916178503,"NZD/1,000 km",Derived real price,Derived exact,Nominal price + RBNZ CPI,Real price = nominal price × CPI rebasing factor. Q1 factor is 1 because March 2026 is the base.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/prices,Recompute whenever CPI or the real-price base quarter changes.
LIGHT_RUC,Light RUC Inputs!X98,log_real_light_ruc_price,4.355545832234981,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
LIGHT_RUC,Light RUC Inputs!Y98,lagged_real_light_ruc_price_nzd_per_1000km,78.61958460542789,"NZD/1,000 km",Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
LIGHT_RUC,Light RUC Inputs!Z98,log_lagged_real_light_ruc_price,4.364620836405956,natural-log / dimensionless,Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
LIGHT_RUC,Light RUC Inputs!AA98,q2_dummy,0,0/1,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!AB98,q3_dummy,0,0/1,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!AC98,q4_dummy,0,0/1,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!AD98,post_2020_dummy,1,0/1,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
LIGHT_RUC,Light RUC Inputs!AE98,data_status,Historical official/source data,text,Governance metadata,Governance flag,This workbook,"Documents whether the observation is exact, derived, or provisional.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Preserve through CSV/parquet materialisation.
LIGHT_RUC,Light RUC Inputs!AF98,notes,"Q1 target and revenue are exact Core Data conventional Light RUC actuals: N77 and B77. Effective nominal/real RUC price equals revenue divided by net km times 1,000. Macro inputs use published Q1 quarterly actual movements while preserving the workbook's prior GDP level vintage.",text,Governance metadata,Governance flag,This workbook,"Documents whether the observation is exact, derived, or provisional.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Preserve through CSV/parquet materialisation.
LIGHT_RUC,Light RUC Inputs!AG98,log_target_lag_1,21.919599197790003,natural-log / dimensionless,Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
LIGHT_RUC,Light RUC Inputs!AH98,log_target_lag_4,21.860702145993063,natural-log / dimensionless,Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
LIGHT_RUC,Light RUC Inputs!AI98,diff_log_target_lag_1_lag_4,0.05889705179694005,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
LIGHT_RUC,Light RUC Inputs!AJ98,diesel_x_ruc_price,23.38394919141669,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
LIGHT_RUC,Light RUC Inputs!AK98,gdp_x_post2020,25.461435499116554,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
LIGHT_RUC,Light RUC Inputs!AL98,ruc_x_post2020,4.355545832234981,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
