FY,period,scenario_name,quarters,availability_status,unavailable_reason,horizon_state,allocation_basis,notes
2031,FY2031,actual,2030Q3; 2030Q4; 2031Q1; 2031Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2032,FY2032,actual,2031Q3; 2031Q4; 2032Q1; 2032Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2033,FY2033,actual,2032Q3; 2032Q4; 2033Q1; 2033Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2034,FY2034,actual,2033Q3; 2033Q4; 2034Q1; 2034Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2035,FY2035,actual,2034Q3; 2034Q4; 2035Q1; 2035Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2036,FY2036,actual,2035Q3; 2035Q4; 2036Q1; 2036Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2037,FY2037,actual,2036Q3; 2036Q4; 2037Q1; 2037Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2038,FY2038,actual,2037Q3; 2037Q4; 2038Q1; 2038Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2039,FY2039,actual,2038Q3; 2038Q4; 2039Q1; 2039Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2040,FY2040,actual,2039Q3; 2039Q4; 2040Q1; 2040Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2041,FY2041,actual,2040Q3; 2040Q4; 2041Q1; 2041Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2042,FY2042,actual,2041Q3; 2041Q4; 2042Q1; 2042Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2043,FY2043,actual,2042Q3; 2042Q4; 2043Q1; 2043Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2044,FY2044,actual,2043Q3; 2043Q4; 2044Q1; 2044Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2045,FY2045,actual,2044Q3; 2044Q4; 2045Q1; 2045Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2046,FY2046,actual,2045Q3; 2045Q4; 2046Q1; 2046Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2047,FY2047,actual,2046Q3; 2046Q4; 2047Q1; 2047Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2048,FY2048,actual,2047Q3; 2047Q4; 2048Q1; 2048Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2049,FY2049,actual,2048Q3; 2048Q4; 2049Q1; 2049Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2050,FY2050,actual,2049Q3; 2049Q4; 2050Q1; 2050Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2051,FY2051,actual,2050Q3; 2050Q4; 2051Q1; 2051Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2052,FY2052,actual,2051Q3; 2051Q4; 2052Q1; 2052Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2053,FY2053,actual,2052Q3; 2052Q4; 2053Q1; 2053Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2054,FY2054,actual,2053Q3; 2053Q4; 2054Q1; 2054Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2055,FY2055,actual,2054Q3; 2054Q4; 2055Q1; 2055Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2001,FY2001,befu26_official,2000Q3; 2000Q4; 2001Q1; 2001Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2002,FY2002,befu26_official,2001Q3; 2001Q4; 2002Q1; 2002Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2003,FY2003,befu26_official,2002Q3; 2002Q4; 2003Q1; 2003Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2004,FY2004,befu26_official,2003Q3; 2003Q4; 2004Q1; 2004Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2005,FY2005,befu26_official,2004Q3; 2004Q4; 2005Q1; 2005Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2006,FY2006,befu26_official,2005Q3; 2005Q4; 2006Q1; 2006Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2007,FY2007,befu26_official,2006Q3; 2006Q4; 2007Q1; 2007Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2008,FY2008,befu26_official,2007Q3; 2007Q4; 2008Q1; 2008Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2009,FY2009,befu26_official,2008Q3; 2008Q4; 2009Q1; 2009Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2010,FY2010,befu26_official,2009Q3; 2009Q4; 2010Q1; 2010Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2011,FY2011,befu26_official,2010Q3; 2010Q4; 2011Q1; 2011Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2012,FY2012,befu26_official,2011Q3; 2011Q4; 2012Q1; 2012Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2013,FY2013,befu26_official,2012Q3; 2012Q4; 2013Q1; 2013Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2014,FY2014,befu26_official,2013Q3; 2013Q4; 2014Q1; 2014Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2015,FY2015,befu26_official,2014Q3; 2014Q4; 2015Q1; 2015Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2016,FY2016,befu26_official,2015Q3; 2015Q4; 2016Q1; 2016Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2017,FY2017,befu26_official,2016Q3; 2016Q4; 2017Q1; 2017Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2018,FY2018,befu26_official,2017Q3; 2017Q4; 2018Q1; 2018Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2019,FY2019,befu26_official,2018Q3; 2018Q4; 2019Q1; 2019Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2020,FY2020,befu26_official,2019Q3; 2019Q4; 2020Q1; 2020Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2021,FY2021,befu26_official,2020Q3; 2020Q4; 2021Q1; 2021Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2022,FY2022,befu26_official,2021Q3; 2021Q4; 2022Q1; 2022Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2023,FY2023,befu26_official,2022Q3; 2022Q4; 2023Q1; 2023Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2024,FY2024,befu26_official,2023Q3; 2023Q4; 2024Q1; 2024Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2025,FY2025,befu26_official,2024Q3; 2024Q4; 2025Q1; 2025Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2026,FY2026,befu26_official,2025Q3; 2025Q4; 2026Q1; 2026Q2,available,,backtest_supported_h1_h12,conventional_anchor_vfm_composition_v1,
2027,FY2027,befu26_official,2026Q3; 2026Q4; 2027Q1; 2027Q2,available,,backtest_supported_h1_h12,conventional_anchor_vfm_composition_v1,
2028,FY2028,befu26_official,2027Q3; 2027Q4; 2028Q1; 2028Q2,available,,backtest_supported_h1_h12,conventional_anchor_vfm_composition_v1,
2029,FY2029,befu26_official,2028Q3; 2028Q4; 2029Q1; 2029Q2,available,,extended_conditional_evidence_h13_h20,conventional_anchor_vfm_composition_v1,
2030,FY2030,befu26_official,2029Q3; 2029Q4; 2030Q1; 2030Q2,available,,extended_conditional_evidence_h13_h20,conventional_anchor_vfm_composition_v1,
2031,FY2031,befu26_official,2030Q3; 2030Q4; 2031Q1; 2031Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2032,FY2032,befu26_official,2031Q3; 2031Q4; 2032Q1; 2032Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2033,FY2033,befu26_official,2032Q3; 2032Q4; 2033Q1; 2033Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2034,FY2034,befu26_official,2033Q3; 2033Q4; 2034Q1; 2034Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2035,FY2035,befu26_official,2034Q3; 2034Q4; 2035Q1; 2035Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2036,FY2036,befu26_official,2035Q3; 2035Q4; 2036Q1; 2036Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2037,FY2037,befu26_official,2036Q3; 2036Q4; 2037Q1; 2037Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2038,FY2038,befu26_official,2037Q3; 2037Q4; 2038Q1; 2038Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2039,FY2039,befu26_official,2038Q3; 2038Q4; 2039Q1; 2039Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2040,FY2040,befu26_official,2039Q3; 2039Q4; 2040Q1; 2040Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2041,FY2041,befu26_official,2040Q3; 2040Q4; 2041Q1; 2041Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2042,FY2042,befu26_official,2041Q3; 2041Q4; 2042Q1; 2042Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2043,FY2043,befu26_official,2042Q3; 2042Q4; 2043Q1; 2043Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2044,FY2044,befu26_official,2043Q3; 2043Q4; 2044Q1; 2044Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2045,FY2045,befu26_official,2044Q3; 2044Q4; 2045Q1; 2045Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2046,FY2046,befu26_official,2045Q3; 2045Q4; 2046Q1; 2046Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2047,FY2047,befu26_official,2046Q3; 2046Q4; 2047Q1; 2047Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2048,FY2048,befu26_official,2047Q3; 2047Q4; 2048Q1; 2048Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2049,FY2049,befu26_official,2048Q3; 2048Q4; 2049Q1; 2049Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2050,FY2050,befu26_official,2049Q3; 2049Q4; 2050Q1; 2050Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2051,FY2051,befu26_official,2050Q3; 2050Q4; 2051Q1; 2051Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2052,FY2052,befu26_official,2051Q3; 2051Q4; 2052Q1; 2052Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
2053,FY2053,befu26_official,2052Q3; 2052Q4; 2053Q1; 2053Q2,unavailable_pending_structural_light_ruc_bridge,conventional_anchor_share_expansion_not_defensible_beyond_h20,unvalidated_extrapolation_h21_plus,conventional_anchor_vfm_composition_v1,"Current-model Light RUC and every dependent revenue line are withheld beyond H20. Publication resumes only with the governed structural long-term bridge. Do not forward-fill, extrapolate or substitute MBU26 values for these periods."
